LOCATION,Continent
AUS,Oceania
AUT,Europe
BEL,Europe
CAN,North America
CZE,Europe
DNK,Europe
FIN,Europe
FRA,Europe
DEU,Europe
GRC,Europe
HUN,Europe
ISL,Europe
IRL,Europe
ITA,Europe
JPN,Asia
KOR,Asia
LUX,Europe
MEX,North America
NLD,Europe
NZL,Oceania
NOR,Europe
POL,Europe
PRT,Europe
SVK,Europe
ESP,Europe
SWE,Europe
CHE,Europe
TUR,Europe
GBR,Europe
USA,North America
ALB,Europe
DZA,Africa
ARG,South America
ARM,Europe
ARM,Asia
AZE,Asia
AZE,Europe
BGD,Asia
BLR,Europe
BIH,Europe
BRA,South America
BGR,Europe
KHM,Asia
CHL,South America
CHN,Asia
COL,South America
HRV,Europe
CYP,Europe
CYP,Asia
EGY,Africa
EST,Europe
ETH,Africa
GEO,Asia
GEO,Europe
GHA,Africa
HTI,North America
HKG,Asia
IND,Asia
IDN,Asia
IRN,Asia
ISR,Asia
KAZ,Asia
KAZ,Europe
LVA,Europe
LTU,Europe
MKD,Europe
MYS,Asia
MDA,Europe
MOZ,Africa
NGA,Africa
PAK,Asia
PRY,South America
PER,South America
PHL,Asia
ROU,Europe
RUS,Asia
RUS,Europe
SAU,Asia
SGP,Asia
SVN,Europe
ZAF,Africa
SDN,Africa
TZA,Africa
THA,Asia
UKR,Europe
ARE,Asia
URY,South America
VNM,Asia
ZMB,Africa
SRB,Europe
AFG,Asia
AGO,Africa
BHR,Asia
BEN,Africa
BTN,Asia
BOL,South America
BWA,Africa
BFA,Africa
BDI,Africa
CMR,Africa
CAF,Africa
TCD,Africa
COG,Africa
CRI,North America
CIV,Africa
CUB,North America
PRK,Asia
COD,Africa
DOM,North America
ECU,South America
SLV,North America
GNQ,Africa
ERI,Africa
FJI,Oceania
GAB,Africa
GMB,Africa
GTM,North America
GIN,Africa
GNB,Africa
HND,North America
IRQ,Asia
JAM,North America
JOR,Asia
KEN,Africa
KWT,Asia
KGZ,Asia
LAO,Asia
LBN,Asia
LSO,Africa
LBR,Africa
LBY,Africa
MDG,Africa
MWI,Africa
MLI,Africa
MRT,Africa
MUS,Africa
MNG,Asia
MAR,Africa
MMR,Asia
NAM,Africa
NPL,Asia
NIC,North America
NER,Africa
PSE,Asia
OMN,Asia
PAN,North America
PNG,Oceania
QAT,Asia
RWA,Africa
SEN,Africa
SLE,Africa
SOM,Africa
LKA,Asia
SWZ,Africa
SYR,Asia
TJK,Asia
TLS,Asia
TGO,Africa
TTO,North America
TUN,Africa
TKM,Asia
UGA,Africa
UZB,Asia
VEN,South America
YEM,Asia
ZWE,Africa
BRN,Asia
MLT,Europe
TWN,Asia
MNE,Europe