"","LOCATION","SUBJECT","TIME","Value","Continent"
"1","AUS","Discriminatory Family Code",2019,21.8,"Oceania"
"2","AUS","Restricted Civil Liberty",2019,23.6,"Oceania"
"3","AUS","Restricted Resources and Assets",2014,0,"Oceania"
"4","AUS","Restricted Resources and Assets",2019,4.9,"Oceania"
"5","AUT","Discriminatory Family Code",2019,22.1,"Europe"
"6","AUT","Restricted Civil Liberty",2019,12.1,"Europe"
"7","AUT","Restricted Resources and Assets",2014,0,"Europe"
"8","AUT","Restricted Resources and Assets",2019,4,"Europe"
"9","BEL","Total",2019,11.2,"Europe"
"10","BEL","Discriminatory Family Code",2019,22,"Europe"
"11","BEL","Restricted Civil Liberty",2019,10.3,"Europe"
"12","BEL","Restricted Physical Integrity",2019,8.4,"Europe"
"13","BEL","Restricted Resources and Assets",2014,0,"Europe"
"14","BEL","Restricted Resources and Assets",2019,3.3,"Europe"
"15","CAN","Discriminatory Family Code",2019,26.5,"North America"
"16","CAN","Restricted Civil Liberty",2019,23.5,"North America"
"17","CAN","Restricted Resources and Assets",2014,0,"North America"
"18","CAN","Restricted Resources and Assets",2019,17.4,"North America"
"19","CZE","Total",2019,19.8,"Europe"
"20","CZE","Discriminatory Family Code",2019,27.3,"Europe"
"21","CZE","Restricted Civil Liberty",2019,26.3,"Europe"
"22","CZE","Restricted Physical Integrity",2019,12.8,"Europe"
"23","CZE","Restricted Resources and Assets",2014,0,"Europe"
"24","CZE","Restricted Resources and Assets",2019,11.9,"Europe"
"25","DNK","Discriminatory Family Code",2019,15,"Europe"
"26","DNK","Restricted Civil Liberty",2019,11,"Europe"
"27","DNK","Restricted Resources and Assets",2014,0,"Europe"
"28","DNK","Restricted Resources and Assets",2019,4.8,"Europe"
"29","FIN","Discriminatory Family Code",2019,21.8,"Europe"
"30","FIN","Restricted Civil Liberty",2019,18.3,"Europe"
"31","FIN","Restricted Resources and Assets",2014,0,"Europe"
"32","FIN","Restricted Resources and Assets",2019,3.8,"Europe"
"33","FRA","Total",2019,11.1,"Europe"
"34","FRA","Discriminatory Family Code",2019,27.6,"Europe"
"35","FRA","Restricted Civil Liberty",2019,5.3,"Europe"
"36","FRA","Restricted Physical Integrity",2019,6,"Europe"
"37","FRA","Restricted Resources and Assets",2014,0,"Europe"
"38","FRA","Restricted Resources and Assets",2019,3.6,"Europe"
"39","DEU","Discriminatory Family Code",2019,18.1,"Europe"
"40","DEU","Restricted Civil Liberty",2019,14.3,"Europe"
"41","DEU","Restricted Resources and Assets",2014,0,"Europe"
"42","DEU","Restricted Resources and Assets",2019,13.1,"Europe"
"43","GRC","Discriminatory Family Code",2019,45.1,"Europe"
"44","GRC","Restricted Civil Liberty",2019,16.6,"Europe"
"45","GRC","Restricted Resources and Assets",2014,0,"Europe"
"46","GRC","Restricted Resources and Assets",2019,33.3,"Europe"
"47","HUN","Restricted Civil Liberty",2019,27.6,"Europe"
"48","HUN","Restricted Physical Integrity",2019,17.1,"Europe"
"49","HUN","Restricted Resources and Assets",2014,0,"Europe"
"50","HUN","Restricted Resources and Assets",2019,23.4,"Europe"
"51","ISL","Discriminatory Family Code",2019,21.8,"Europe"
"52","ISL","Restricted Civil Liberty",2019,17.4,"Europe"
"53","ISL","Restricted Resources and Assets",2014,0,"Europe"
"54","IRL","Discriminatory Family Code",2019,21.8,"Europe"
"55","IRL","Restricted Civil Liberty",2019,11.8,"Europe"
"56","IRL","Restricted Resources and Assets",2014,0,"Europe"
"57","IRL","Restricted Resources and Assets",2019,15.9,"Europe"
"58","ITA","Total",2019,13.5,"Europe"
"59","ITA","Discriminatory Family Code",2019,21.8,"Europe"
"60","ITA","Restricted Civil Liberty",2019,8.9,"Europe"
"61","ITA","Restricted Physical Integrity",2019,14.7,"Europe"
"62","ITA","Restricted Resources and Assets",2014,0,"Europe"
"63","ITA","Restricted Resources and Assets",2019,8,"Europe"
"64","JPN","Discriminatory Family Code",2019,20.2,"Asia"
"65","JPN","Restricted Civil Liberty",2019,24.8,"Asia"
"66","JPN","Restricted Resources and Assets",2014,0,"Asia"
"67","JPN","Restricted Resources and Assets",2019,29.6,"Asia"
"68","KOR","Discriminatory Family Code",2019,21.8,"Asia"
"69","KOR","Restricted Civil Liberty",2019,20.4,"Asia"
"70","KOR","Restricted Resources and Assets",2014,40.76,"Asia"
"71","KOR","Restricted Resources and Assets",2019,33,"Asia"
"72","LUX","Discriminatory Family Code",2019,21.9,"Europe"
"73","LUX","Restricted Civil Liberty",2019,8.1,"Europe"
"74","LUX","Restricted Resources and Assets",2014,0,"Europe"
"75","LUX","Restricted Resources and Assets",2019,7.3,"Europe"
"76","MEX","Discriminatory Family Code",2019,60.4,"North America"
"77","MEX","Restricted Civil Liberty",2019,14.6,"North America"
"78","MEX","Restricted Physical Integrity",2019,15.6,"North America"
"79","MEX","Restricted Resources and Assets",2014,38.85,"North America"
"80","MEX","Restricted Resources and Assets",2019,17.5,"North America"
"81","NLD","Discriminatory Family Code",2019,23.8,"Europe"
"82","NLD","Restricted Civil Liberty",2019,21.1,"Europe"
"83","NLD","Restricted Resources and Assets",2014,0,"Europe"
"84","NLD","Restricted Resources and Assets",2019,5,"Europe"
"85","NZL","Discriminatory Family Code",2019,21.9,"Oceania"
"86","NZL","Restricted Civil Liberty",2019,22,"Oceania"
"87","NZL","Restricted Resources and Assets",2014,0,"Oceania"
"88","NZL","Restricted Resources and Assets",2019,4.3,"Oceania"
"89","NOR","Discriminatory Family Code",2019,27.3,"Europe"
"90","NOR","Restricted Civil Liberty",2019,19.5,"Europe"
"91","NOR","Restricted Resources and Assets",2014,0,"Europe"
"92","NOR","Restricted Resources and Assets",2019,2.2,"Europe"
"93","POL","Discriminatory Family Code",2019,21.9,"Europe"
"94","POL","Restricted Civil Liberty",2019,12.5,"Europe"
"95","POL","Restricted Resources and Assets",2014,0,"Europe"
"96","POL","Restricted Resources and Assets",2019,15.3,"Europe"
"97","PRT","Discriminatory Family Code",2019,21.8,"Europe"
"98","PRT","Restricted Civil Liberty",2019,11.4,"Europe"
"99","PRT","Restricted Resources and Assets",2014,0,"Europe"
"100","PRT","Restricted Resources and Assets",2019,3.2,"Europe"
"101","SVK","Discriminatory Family Code",2019,26.5,"Europe"
"102","SVK","Restricted Civil Liberty",2019,24.4,"Europe"
"103","SVK","Restricted Resources and Assets",2014,0,"Europe"
"104","SVK","Restricted Resources and Assets",2019,7.5,"Europe"
"105","ESP","Total",2019,14.3,"Europe"
"106","ESP","Discriminatory Family Code",2019,27.7,"Europe"
"107","ESP","Restricted Civil Liberty",2019,5.8,"Europe"
"108","ESP","Restricted Physical Integrity",2019,11.7,"Europe"
"109","ESP","Restricted Resources and Assets",2014,0,"Europe"
"110","ESP","Restricted Resources and Assets",2019,10.5,"Europe"
"111","SWE","Discriminatory Family Code",2019,15.1,"Europe"
"112","SWE","Restricted Civil Liberty",2019,16.2,"Europe"
"113","SWE","Restricted Resources and Assets",2014,0,"Europe"
"114","SWE","Restricted Resources and Assets",2019,2.1,"Europe"
"115","CHE","Discriminatory Family Code",2019,0.1,"Europe"
"116","CHE","Restricted Civil Liberty",2019,6.5,"Europe"
"117","CHE","Restricted Resources and Assets",2014,0,"Europe"
"118","CHE","Restricted Resources and Assets",2019,11.9,"Europe"
"119","TUR","Total",2019,25.1,"Europe"
"120","TUR","Discriminatory Family Code",2019,33.2,"Europe"
"121","TUR","Restricted Civil Liberty",2019,20,"Europe"
"122","TUR","Restricted Physical Integrity",2019,7.8,"Europe"
"123","TUR","Restricted Resources and Assets",2014,0,"Europe"
"124","TUR","Restricted Resources and Assets",2019,36.6,"Europe"
"125","GBR","Discriminatory Family Code",2019,27.6,"Europe"
"126","GBR","Restricted Civil Liberty",2019,6.7,"Europe"
"127","GBR","Restricted Resources and Assets",2014,38.85,"Europe"
"128","GBR","Restricted Resources and Assets",2019,9.5,"Europe"
"129","USA","Discriminatory Family Code",2019,26.6,"North America"
"130","USA","Restricted Civil Liberty",2019,22.9,"North America"
"131","USA","Restricted Physical Integrity",2019,10.5,"North America"
"132","USA","Restricted Resources and Assets",2014,0,"North America"
"133","USA","Restricted Resources and Assets",2019,10.6,"North America"
"134","ALB","Total",2019,22.6,"Europe"
"135","ALB","Discriminatory Family Code",2019,33.3,"Europe"
"136","ALB","Restricted Civil Liberty",2019,13.4,"Europe"
"137","ALB","Restricted Physical Integrity",2019,16.4,"Europe"
"138","ALB","Restricted Resources and Assets",2014,40.76,"Europe"
"139","ALB","Restricted Resources and Assets",2019,26,"Europe"
"140","DZA","Discriminatory Family Code",2019,79.9,"Africa"
"141","DZA","Restricted Civil Liberty",2019,61.3,"Africa"
"142","DZA","Restricted Resources and Assets",2014,59.13,"Africa"
"143","DZA","Restricted Resources and Assets",2019,41.2,"Africa"
"144","ARG","Discriminatory Family Code",2019,23.1,"South America"
"145","ARG","Restricted Civil Liberty",2019,7.1,"South America"
"146","ARG","Restricted Resources and Assets",2014,20.48,"South America"
"147","ARG","Restricted Resources and Assets",2019,23,"South America"
"148","ARM","Total",2019,27.8,"Europe"
"149","ARM","Total",2019,27.8,"Asia"
"150","ARM","Discriminatory Family Code",2019,33,"Europe"
"151","ARM","Discriminatory Family Code",2019,33,"Asia"
"152","ARM","Restricted Civil Liberty",2019,19.4,"Europe"
"153","ARM","Restricted Civil Liberty",2019,19.4,"Asia"
"154","ARM","Restricted Physical Integrity",2019,34.5,"Europe"
"155","ARM","Restricted Physical Integrity",2019,34.5,"Asia"
"156","ARM","Restricted Resources and Assets",2014,20.48,"Europe"
"157","ARM","Restricted Resources and Assets",2014,20.48,"Asia"
"158","ARM","Restricted Resources and Assets",2019,23.4,"Europe"
"159","ARM","Restricted Resources and Assets",2019,23.4,"Asia"
"160","AZE","Total",2019,28.7,"Asia"
"161","AZE","Total",2019,28.7,"Europe"
"162","AZE","Discriminatory Family Code",2019,28.2,"Asia"
"163","AZE","Discriminatory Family Code",2019,28.2,"Europe"
"164","AZE","Restricted Civil Liberty",2019,21.4,"Asia"
"165","AZE","Restricted Civil Liberty",2019,21.4,"Europe"
"166","AZE","Restricted Physical Integrity",2019,42.8,"Asia"
"167","AZE","Restricted Physical Integrity",2019,42.8,"Europe"
"168","AZE","Restricted Resources and Assets",2014,18.37,"Asia"
"169","AZE","Restricted Resources and Assets",2014,18.37,"Europe"
"170","AZE","Restricted Resources and Assets",2019,20.9,"Asia"
"171","AZE","Restricted Resources and Assets",2019,20.9,"Europe"
"172","BGD","Total",2019,54.8,"Asia"
"173","BGD","Discriminatory Family Code",2019,82.9,"Asia"
"174","BGD","Restricted Civil Liberty",2019,47.5,"Asia"
"175","BGD","Restricted Physical Integrity",2019,28.9,"Asia"
"176","BGD","Restricted Resources and Assets",2014,59.13,"Asia"
"177","BGD","Restricted Resources and Assets",2019,52.1,"Asia"
"178","BLR","Total",2019,20.6,"Europe"
"179","BLR","Discriminatory Family Code",2019,31.6,"Europe"
"180","BLR","Restricted Civil Liberty",2019,20.5,"Europe"
"181","BLR","Restricted Physical Integrity",2019,14.7,"Europe"
"182","BLR","Restricted Resources and Assets",2014,0,"Europe"
"183","BLR","Restricted Resources and Assets",2019,14.7,"Europe"
"184","BIH","Total",2019,21.8,"Europe"
"185","BIH","Discriminatory Family Code",2019,27.4,"Europe"
"186","BIH","Restricted Civil Liberty",2019,17.1,"Europe"
"187","BIH","Restricted Physical Integrity",2019,10.9,"Europe"
"188","BIH","Restricted Resources and Assets",2014,20.48,"Europe"
"189","BIH","Restricted Resources and Assets",2019,30.6,"Europe"
"190","BRA","Total",2019,21.2,"South America"
"191","BRA","Discriminatory Family Code",2019,28,"South America"
"192","BRA","Restricted Civil Liberty",2019,23.9,"South America"
"193","BRA","Restricted Physical Integrity",2019,14.8,"South America"
"194","BRA","Restricted Resources and Assets",2014,18.37,"South America"
"195","BRA","Restricted Resources and Assets",2019,17.5,"South America"
"196","BGR","Total",2019,23.4,"Europe"
"197","BGR","Discriminatory Family Code",2019,27.5,"Europe"
"198","BGR","Restricted Civil Liberty",2019,20.1,"Europe"
"199","BGR","Restricted Physical Integrity",2019,15.6,"Europe"
"200","BGR","Restricted Resources and Assets",2014,0,"Europe"
"201","BGR","Restricted Resources and Assets",2019,29.7,"Europe"
"202","KHM","Total",2019,29.5,"Asia"
"203","KHM","Discriminatory Family Code",2019,34.2,"Asia"
"204","KHM","Restricted Civil Liberty",2019,40.9,"Asia"
"205","KHM","Restricted Physical Integrity",2019,13.5,"Asia"
"206","KHM","Restricted Resources and Assets",2014,20.28,"Asia"
"207","KHM","Restricted Resources and Assets",2019,27.6,"Asia"
"208","CHL","Discriminatory Family Code",2019,36.4,"South America"
"209","CHL","Restricted Civil Liberty",2019,16.6,"South America"
"210","CHL","Restricted Resources and Assets",2014,0,"South America"
"211","CHL","Restricted Resources and Assets",2019,64.8,"South America"
"212","CHN","Discriminatory Family Code",2019,18.4,"Asia"
"213","CHN","Restricted Resources and Assets",2014,40.76,"Asia"
"214","COL","Total",2019,15,"South America"
"215","COL","Discriminatory Family Code",2019,9.6,"South America"
"216","COL","Restricted Civil Liberty",2019,20.6,"South America"
"217","COL","Restricted Physical Integrity",2019,14.9,"South America"
"218","COL","Restricted Resources and Assets",2014,0,"South America"
"219","COL","Restricted Resources and Assets",2019,14.5,"South America"
"220","HRV","Discriminatory Family Code",2019,22,"Europe"
"221","HRV","Restricted Civil Liberty",2019,17.9,"Europe"
"222","HRV","Restricted Resources and Assets",2014,0,"Europe"
"223","HRV","Restricted Resources and Assets",2019,29.1,"Europe"
"224","CYP","Discriminatory Family Code",2019,42.3,"Europe"
"225","CYP","Discriminatory Family Code",2019,42.3,"Asia"
"226","CYP","Restricted Civil Liberty",2019,36.7,"Europe"
"227","CYP","Restricted Civil Liberty",2019,36.7,"Asia"
"228","CYP","Restricted Resources and Assets",2014,0,"Europe"
"229","CYP","Restricted Resources and Assets",2014,0,"Asia"
"230","CYP","Restricted Resources and Assets",2019,19.3,"Europe"
"231","CYP","Restricted Resources and Assets",2019,19.3,"Asia"
"232","EGY","Discriminatory Family Code",2019,78.6,"Africa"
"233","EGY","Restricted Resources and Assets",2014,59.13,"Africa"
"234","EGY","Restricted Resources and Assets",2019,64.6,"Africa"
"235","EST","Discriminatory Family Code",2019,21.8,"Europe"
"236","EST","Restricted Civil Liberty",2019,21.5,"Europe"
"237","EST","Restricted Resources and Assets",2014,0,"Europe"
"238","EST","Restricted Resources and Assets",2019,4.6,"Europe"
"239","ETH","Total",2019,29.6,"Africa"
"240","ETH","Discriminatory Family Code",2019,34.8,"Africa"
"241","ETH","Restricted Civil Liberty",2019,17.9,"Africa"
"242","ETH","Restricted Physical Integrity",2019,30.8,"Africa"
"243","ETH","Restricted Resources and Assets",2014,59.13,"Africa"
"244","ETH","Restricted Resources and Assets",2019,34,"Africa"
"245","GEO","Total",2019,24.8,"Asia"
"246","GEO","Total",2019,24.8,"Europe"
"247","GEO","Discriminatory Family Code",2019,34,"Asia"
"248","GEO","Discriminatory Family Code",2019,34,"Europe"
"249","GEO","Restricted Civil Liberty",2019,18.7,"Asia"
"250","GEO","Restricted Civil Liberty",2019,18.7,"Europe"
"251","GEO","Restricted Physical Integrity",2019,18.3,"Asia"
"252","GEO","Restricted Physical Integrity",2019,18.3,"Europe"
"253","GEO","Restricted Resources and Assets",2014,40.76,"Asia"
"254","GEO","Restricted Resources and Assets",2014,40.76,"Europe"
"255","GEO","Restricted Resources and Assets",2019,27.3,"Asia"
"256","GEO","Restricted Resources and Assets",2019,27.3,"Europe"
"257","GHA","Total",2019,34.5,"Africa"
"258","GHA","Discriminatory Family Code",2019,59.5,"Africa"
"259","GHA","Restricted Civil Liberty",2019,22.7,"Africa"
"260","GHA","Restricted Physical Integrity",2019,20.2,"Africa"
"261","GHA","Restricted Resources and Assets",2014,80.44,"Africa"
"262","GHA","Restricted Resources and Assets",2019,30.7,"Africa"
"263","HTI","Total",2019,39.9,"North America"
"264","HTI","Discriminatory Family Code",2019,37.6,"North America"
"265","HTI","Restricted Civil Liberty",2019,59.1,"North America"
"266","HTI","Restricted Physical Integrity",2019,37.3,"North America"
"267","HTI","Restricted Resources and Assets",2014,20.48,"North America"
"268","HTI","Restricted Resources and Assets",2019,22,"North America"
"269","HKG","Discriminatory Family Code",2019,21.8,"Asia"
"270","HKG","Restricted Civil Liberty",2019,26.7,"Asia"
"271","HKG","Restricted Resources and Assets",2014,40.76,"Asia"
"272","HKG","Restricted Resources and Assets",2019,13.4,"Asia"
"273","IND","Total",2019,34,"Asia"
"274","IND","Discriminatory Family Code",2019,46.9,"Asia"
"275","IND","Restricted Civil Liberty",2019,21.2,"Asia"
"276","IND","Restricted Physical Integrity",2019,29.3,"Asia"
"277","IND","Restricted Resources and Assets",2014,59.13,"Asia"
"278","IND","Restricted Resources and Assets",2019,36.9,"Asia"
"279","IDN","Total",2019,41.6,"Asia"
"280","IDN","Discriminatory Family Code",2019,63.1,"Asia"
"281","IDN","Restricted Civil Liberty",2019,40.4,"Asia"
"282","IDN","Restricted Physical Integrity",2019,21.9,"Asia"
"283","IDN","Restricted Resources and Assets",2014,18.37,"Asia"
"284","IDN","Restricted Resources and Assets",2019,36.5,"Asia"
"285","IRN","Discriminatory Family Code",2019,89.9,"Asia"
"286","IRN","Restricted Civil Liberty",2019,75.1,"Asia"
"287","IRN","Restricted Resources and Assets",2014,59.13,"Asia"
"288","IRN","Restricted Resources and Assets",2019,22.5,"Asia"
"289","ISR","Discriminatory Family Code",2019,46.8,"Asia"
"290","ISR","Restricted Civil Liberty",2019,38.4,"Asia"
"291","ISR","Restricted Resources and Assets",2014,0,"Asia"
"292","ISR","Restricted Resources and Assets",2019,28.3,"Asia"
"293","KAZ","Total",2019,22.5,"Asia"
"294","KAZ","Total",2019,22.5,"Europe"
"295","KAZ","Discriminatory Family Code",2019,22.4,"Asia"
"296","KAZ","Discriminatory Family Code",2019,22.4,"Europe"
"297","KAZ","Restricted Civil Liberty",2019,21.8,"Asia"
"298","KAZ","Restricted Civil Liberty",2019,21.8,"Europe"
"299","KAZ","Restricted Physical Integrity",2019,14.4,"Asia"
"300","KAZ","Restricted Physical Integrity",2019,14.4,"Europe"
"301","KAZ","Restricted Resources and Assets",2014,40.76,"Asia"
"302","KAZ","Restricted Resources and Assets",2014,40.76,"Europe"
"303","KAZ","Restricted Resources and Assets",2019,30.6,"Asia"
"304","KAZ","Restricted Resources and Assets",2019,30.6,"Europe"
"305","LVA","Total",2019,17.8,"Europe"
"306","LVA","Discriminatory Family Code",2019,21.8,"Europe"
"307","LVA","Restricted Civil Liberty",2019,27.7,"Europe"
"308","LVA","Restricted Physical Integrity",2019,15.7,"Europe"
"309","LVA","Restricted Resources and Assets",2014,0,"Europe"
"310","LVA","Restricted Resources and Assets",2019,4.6,"Europe"
"311","LTU","Total",2019,15.6,"Europe"
"312","LTU","Discriminatory Family Code",2019,27.3,"Europe"
"313","LTU","Restricted Civil Liberty",2019,19.7,"Europe"
"314","LTU","Restricted Physical Integrity",2019,9.3,"Europe"
"315","LTU","Restricted Resources and Assets",2014,0,"Europe"
"316","LTU","Restricted Resources and Assets",2019,4.6,"Europe"
"317","MKD","Total",2019,18,"Europe"
"318","MKD","Discriminatory Family Code",2019,27.7,"Europe"
"319","MKD","Restricted Civil Liberty",2019,15.2,"Europe"
"320","MKD","Restricted Physical Integrity",2019,15.1,"Europe"
"321","MKD","Restricted Resources and Assets",2014,40.76,"Europe"
"322","MKD","Restricted Resources and Assets",2019,13.4,"Europe"
"323","MYS","Discriminatory Family Code",2019,80.8,"Asia"
"324","MYS","Restricted Resources and Assets",2014,40.76,"Asia"
"325","MDA","Total",2019,21.4,"Europe"
"326","MDA","Discriminatory Family Code",2019,23,"Europe"
"327","MDA","Restricted Civil Liberty",2019,11,"Europe"
"328","MDA","Restricted Physical Integrity",2019,12.7,"Europe"
"329","MDA","Restricted Resources and Assets",2014,20.48,"Europe"
"330","MDA","Restricted Resources and Assets",2019,36.7,"Europe"
"331","MOZ","Total",2019,24.3,"Africa"
"332","MOZ","Discriminatory Family Code",2019,32,"Africa"
"333","MOZ","Restricted Civil Liberty",2019,32.9,"Africa"
"334","MOZ","Restricted Physical Integrity",2019,15.5,"Africa"
"335","MOZ","Restricted Resources and Assets",2014,40.76,"Africa"
"336","MOZ","Restricted Resources and Assets",2019,15.3,"Africa"
"337","NGA","Total",2019,46,"Africa"
"338","NGA","Discriminatory Family Code",2019,54.8,"Africa"
"339","NGA","Restricted Civil Liberty",2019,53.9,"Africa"
"340","NGA","Restricted Physical Integrity",2019,32,"Africa"
"341","NGA","Restricted Resources and Assets",2014,76.26,"Africa"
"342","NGA","Restricted Resources and Assets",2019,41.4,"Africa"
"343","PAK","Total",2019,58.7,"Asia"
"344","PAK","Discriminatory Family Code",2019,79.8,"Asia"
"345","PAK","Restricted Civil Liberty",2019,53.1,"Asia"
"346","PAK","Restricted Physical Integrity",2019,37.1,"Asia"
"347","PAK","Restricted Resources and Assets",2014,40.76,"Asia"
"348","PAK","Restricted Resources and Assets",2019,60.1,"Asia"
"349","PRY","Total",2019,32.8,"South America"
"350","PRY","Discriminatory Family Code",2019,46.1,"South America"
"351","PRY","Restricted Civil Liberty",2019,29.8,"South America"
"352","PRY","Restricted Physical Integrity",2019,22.1,"South America"
"353","PRY","Restricted Resources and Assets",2014,40.76,"South America"
"354","PRY","Restricted Resources and Assets",2019,31.7,"South America"
"355","PER","Total",2019,24.5,"South America"
"356","PER","Discriminatory Family Code",2019,47.7,"South America"
"357","PER","Restricted Civil Liberty",2019,12.9,"South America"
"358","PER","Restricted Physical Integrity",2019,26.6,"South America"
"359","PER","Restricted Resources and Assets",2014,40.76,"South America"
"360","PER","Restricted Resources and Assets",2019,5.5,"South America"
"361","PHL","Total",2019,52.8,"Asia"
"362","PHL","Discriminatory Family Code",2019,67.2,"Asia"
"363","PHL","Restricted Civil Liberty",2019,45.1,"Asia"
"364","PHL","Restricted Physical Integrity",2019,25.7,"Asia"
"365","PHL","Restricted Resources and Assets",2014,59.13,"Asia"
"366","PHL","Restricted Resources and Assets",2019,67.2,"Asia"
"367","ROU","Total",2019,16.6,"Europe"
"368","ROU","Discriminatory Family Code",2019,28,"Europe"
"369","ROU","Restricted Civil Liberty",2019,22.1,"Europe"
"370","ROU","Restricted Physical Integrity",2019,7.7,"Europe"
"371","ROU","Restricted Resources and Assets",2014,0,"Europe"
"372","ROU","Restricted Resources and Assets",2019,7.1,"Europe"
"373","RUS","Discriminatory Family Code",2019,22.6,"Asia"
"374","RUS","Discriminatory Family Code",2019,22.6,"Europe"
"375","RUS","Restricted Civil Liberty",2019,31.5,"Asia"
"376","RUS","Restricted Civil Liberty",2019,31.5,"Europe"
"377","RUS","Restricted Physical Integrity",2019,19.1,"Asia"
"378","RUS","Restricted Physical Integrity",2019,19.1,"Europe"
"379","RUS","Restricted Resources and Assets",2014,0,"Asia"
"380","RUS","Restricted Resources and Assets",2014,0,"Europe"
"381","RUS","Restricted Resources and Assets",2019,15.1,"Asia"
"382","RUS","Restricted Resources and Assets",2019,15.1,"Europe"
"383","SAU","Discriminatory Family Code",2019,89,"Asia"
"384","SAU","Restricted Resources and Assets",2014,59.13,"Asia"
"385","SAU","Restricted Resources and Assets",2019,40.7,"Asia"
"386","SGP","Discriminatory Family Code",2019,27.4,"Asia"
"387","SGP","Restricted Civil Liberty",2019,49.2,"Asia"
"388","SGP","Restricted Resources and Assets",2014,20.48,"Asia"
"389","SGP","Restricted Resources and Assets",2019,11.9,"Asia"
"390","SVN","Total",2019,12.9,"Europe"
"391","SVN","Discriminatory Family Code",2019,21.8,"Europe"
"392","SVN","Restricted Civil Liberty",2019,13.2,"Europe"
"393","SVN","Restricted Physical Integrity",2019,7.1,"Europe"
"394","SVN","Restricted Resources and Assets",2014,0,"Europe"
"395","SVN","Restricted Resources and Assets",2019,9,"Europe"
"396","ZAF","Total",2019,22.4,"Africa"
"397","ZAF","Discriminatory Family Code",2019,33.2,"Africa"
"398","ZAF","Restricted Civil Liberty",2019,21,"Africa"
"399","ZAF","Restricted Physical Integrity",2019,15.1,"Africa"
"400","ZAF","Restricted Resources and Assets",2014,40.76,"Africa"
"401","ZAF","Restricted Resources and Assets",2019,19.6,"Africa"
"402","SDN","Discriminatory Family Code",2019,89.9,"Africa"
"403","SDN","Restricted Resources and Assets",2014,81.63,"Africa"
"404","TZA","Total",2019,46.1,"Africa"
"405","TZA","Discriminatory Family Code",2019,80.6,"Africa"
"406","TZA","Restricted Civil Liberty",2019,35.2,"Africa"
"407","TZA","Restricted Physical Integrity",2019,28.5,"Africa"
"408","TZA","Restricted Resources and Assets",2014,59.13,"Africa"
"409","TZA","Restricted Resources and Assets",2019,30,"Africa"
"410","THA","Total",2019,35.5,"Asia"
"411","THA","Discriminatory Family Code",2019,33.4,"Asia"
"412","THA","Restricted Civil Liberty",2019,56.8,"Asia"
"413","THA","Restricted Physical Integrity",2019,22.7,"Asia"
"414","THA","Restricted Resources and Assets",2014,38.85,"Asia"
"415","THA","Restricted Resources and Assets",2019,25.2,"Asia"
"416","UKR","Total",2019,21,"Europe"
"417","UKR","Discriminatory Family Code",2019,22.5,"Europe"
"418","UKR","Restricted Civil Liberty",2019,28.7,"Europe"
"419","UKR","Restricted Physical Integrity",2019,13.5,"Europe"
"420","UKR","Restricted Resources and Assets",2014,0,"Europe"
"421","UKR","Restricted Resources and Assets",2019,18.5,"Europe"
"422","ARE","Discriminatory Family Code",2019,86.7,"Asia"
"423","ARE","Restricted Resources and Assets",2014,59.13,"Asia"
"424","ARE","Restricted Resources and Assets",2019,28.5,"Asia"
"425","URY","Discriminatory Family Code",2019,27.6,"South America"
"426","URY","Restricted Civil Liberty",2019,22.8,"South America"
"427","URY","Restricted Physical Integrity",2019,11,"South America"
"428","URY","Restricted Resources and Assets",2014,18.37,"South America"
"429","URY","Restricted Resources and Assets",2019,26.6,"South America"
"430","VNM","Total",2019,25.3,"Asia"
"431","VNM","Discriminatory Family Code",2019,23.3,"Asia"
"432","VNM","Restricted Civil Liberty",2019,13.8,"Asia"
"433","VNM","Restricted Physical Integrity",2019,30.8,"Asia"
