"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"JAM","SIGI","DISCRIMFAMCODE","IDX","A","2019",32,
"JAM","SIGI","RESTRCIVLIB","IDX","A","2019",22.9,
"JAM","SIGI","RESTRPHYSINTEG","IDX","A","2019",24.5,
"JAM","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"JAM","SIGI","RESTRRESASSETS","IDX","A","2019",18.7,
"JOR","SIGI","TOT","IDX","A","2019",57.3,
"JOR","SIGI","DISCRIMFAMCODE","IDX","A","2019",86.9,
"JOR","SIGI","RESTRCIVLIB","IDX","A","2019",63.1,
"JOR","SIGI","RESTRPHYSINTEG","IDX","A","2019",25.2,
"JOR","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"JOR","SIGI","RESTRRESASSETS","IDX","A","2019",43.4,
"KEN","SIGI","TOT","IDX","A","2019",35.5,
"KEN","SIGI","DISCRIMFAMCODE","IDX","A","2019",50.5,
"KEN","SIGI","RESTRCIVLIB","IDX","A","2019",17.2,
"KEN","SIGI","RESTRPHYSINTEG","IDX","A","2019",28.9,
"KEN","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"KEN","SIGI","RESTRRESASSETS","IDX","A","2019",42.2,
"KWT","SIGI","DISCRIMFAMCODE","IDX","A","2019",75.8,
"KWT","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"KWT","SIGI","RESTRRESASSETS","IDX","A","2019",80.3,
"KGZ","SIGI","TOT","IDX","A","2019",23.2,
"KGZ","SIGI","DISCRIMFAMCODE","IDX","A","2019",28.7,
"KGZ","SIGI","RESTRCIVLIB","IDX","A","2019",18,
"KGZ","SIGI","RESTRPHYSINTEG","IDX","A","2019",16.6,
"KGZ","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"KGZ","SIGI","RESTRRESASSETS","IDX","A","2019",28.8,
"LAO","SIGI","TOT","IDX","A","2019",26.2,
"LAO","SIGI","DISCRIMFAMCODE","IDX","A","2019",31.3,
"LAO","SIGI","RESTRCIVLIB","IDX","A","2019",29,
"LAO","SIGI","RESTRPHYSINTEG","IDX","A","2019",23.9,
"LAO","SIGI","RESTRRESASSETS","IDX","A","2014",40.76,
"LAO","SIGI","RESTRRESASSETS","IDX","A","2019",20.2,
"LBN","SIGI","TOT","IDX","A","2019",56.2,
"LBN","SIGI","DISCRIMFAMCODE","IDX","A","2019",82.5,
"LBN","SIGI","RESTRCIVLIB","IDX","A","2019",62.1,
"LBN","SIGI","RESTRPHYSINTEG","IDX","A","2019",26.6,
"LBN","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"LBN","SIGI","RESTRRESASSETS","IDX","A","2019",45.1,
"LSO","SIGI","TOT","IDX","A","2019",38.1,
"LSO","SIGI","DISCRIMFAMCODE","IDX","A","2019",46.5,
"LSO","SIGI","RESTRCIVLIB","IDX","A","2019",37.6,
"LSO","SIGI","RESTRPHYSINTEG","IDX","A","2019",26.9,
"LSO","SIGI","RESTRRESASSETS","IDX","A","2014",20.48,
"LSO","SIGI","RESTRRESASSETS","IDX","A","2019",40.5,
"LBR","SIGI","TOT","IDX","A","2019",47.5,
"LBR","SIGI","DISCRIMFAMCODE","IDX","A","2019",60,
"LBR","SIGI","RESTRCIVLIB","IDX","A","2019",52.8,
"LBR","SIGI","RESTRPHYSINTEG","IDX","A","2019",33.5,
"LBR","SIGI","RESTRRESASSETS","IDX","A","2014",40.76,
"LBR","SIGI","RESTRRESASSETS","IDX","A","2019",41.5,
"LBY","SIGI","DISCRIMFAMCODE","IDX","A","2019",40.8,
"LBY","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"MDG","SIGI","TOT","IDX","A","2019",47.5,
"MDG","SIGI","DISCRIMFAMCODE","IDX","A","2019",57.2,
"MDG","SIGI","RESTRCIVLIB","IDX","A","2019",59.4,
"MDG","SIGI","RESTRPHYSINTEG","IDX","A","2019",31.6,
"MDG","SIGI","RESTRRESASSETS","IDX","A","2014",20.48,
"MDG","SIGI","RESTRRESASSETS","IDX","A","2019",39.2,
"MWI","SIGI","TOT","IDX","A","2019",41.4,
"MWI","SIGI","DISCRIMFAMCODE","IDX","A","2019",38.5,
"MWI","SIGI","RESTRCIVLIB","IDX","A","2019",61.9,
"MWI","SIGI","RESTRPHYSINTEG","IDX","A","2019",24.1,
"MWI","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"MWI","SIGI","RESTRRESASSETS","IDX","A","2019",37.4,
"MLI","SIGI","TOT","IDX","A","2019",46,
"MLI","SIGI","DISCRIMFAMCODE","IDX","A","2019",63.5,
"MLI","SIGI","RESTRCIVLIB","IDX","A","2019",28.9,
"MLI","SIGI","RESTRPHYSINTEG","IDX","A","2019",48.4,
"MLI","SIGI","RESTRRESASSETS","IDX","A","2014",40.76,
"MLI","SIGI","RESTRRESASSETS","IDX","A","2019",39.9,
"MRT","SIGI","DISCRIMFAMCODE","IDX","A","2019",88.1,
"MRT","SIGI","RESTRCIVLIB","IDX","A","2019",52.2,
"MRT","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"MUS","SIGI","DISCRIMFAMCODE","IDX","A","2019",52.7,
"MUS","SIGI","RESTRCIVLIB","IDX","A","2019",40.7,
"MUS","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"MUS","SIGI","RESTRRESASSETS","IDX","A","2019",19.2,
"MNG","SIGI","TOT","IDX","A","2019",20,
"MNG","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.8,
"MNG","SIGI","RESTRCIVLIB","IDX","A","2019",22.9,
"MNG","SIGI","RESTRPHYSINTEG","IDX","A","2019",8.1,
"MNG","SIGI","RESTRRESASSETS","IDX","A","2014",20.48,
"MNG","SIGI","RESTRRESASSETS","IDX","A","2019",20.1,
"MAR","SIGI","TOT","IDX","A","2019",50.8,
"MAR","SIGI","DISCRIMFAMCODE","IDX","A","2019",73.4,
"MAR","SIGI","RESTRCIVLIB","IDX","A","2019",59.3,
"MAR","SIGI","RESTRPHYSINTEG","IDX","A","2019",25.7,
"MAR","SIGI","RESTRRESASSETS","IDX","A","2014",38.85,
"MAR","SIGI","RESTRRESASSETS","IDX","A","2019",37.8,
"MMR","SIGI","TOT","IDX","A","2019",42.4,
"MMR","SIGI","DISCRIMFAMCODE","IDX","A","2019",47.7,
"MMR","SIGI","RESTRCIVLIB","IDX","A","2019",54.9,
"MMR","SIGI","RESTRPHYSINTEG","IDX","A","2019",29.5,
"MMR","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"MMR","SIGI","RESTRRESASSETS","IDX","A","2019",35.5,
"NAM","SIGI","TOT","IDX","A","2019",27.1,
"NAM","SIGI","DISCRIMFAMCODE","IDX","A","2019",33.1,
"NAM","SIGI","RESTRCIVLIB","IDX","A","2019",35.1,
"NAM","SIGI","RESTRPHYSINTEG","IDX","A","2019",12.6,
"NAM","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"NAM","SIGI","RESTRRESASSETS","IDX","A","2019",26.2,
"NPL","SIGI","TOT","IDX","A","2019",36.2,
"NPL","SIGI","DISCRIMFAMCODE","IDX","A","2019",52.3,
"NPL","SIGI","RESTRCIVLIB","IDX","A","2019",40.2,
"NPL","SIGI","RESTRPHYSINTEG","IDX","A","2019",13.7,
"NPL","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"NPL","SIGI","RESTRRESASSETS","IDX","A","2019",34.7,
"NIC","SIGI","TOT","IDX","A","2019",18.6,
"NIC","SIGI","DISCRIMFAMCODE","IDX","A","2019",25.3,
"NIC","SIGI","RESTRCIVLIB","IDX","A","2019",6.2,
"NIC","SIGI","RESTRPHYSINTEG","IDX","A","2019",25.6,
"NIC","SIGI","RESTRRESASSETS","IDX","A","2014",38.85,
"NIC","SIGI","RESTRRESASSETS","IDX","A","2019",16,
"NER","SIGI","DISCRIMFAMCODE","IDX","A","2019",84.4,
"NER","SIGI","RESTRCIVLIB","IDX","A","2019",25.6,
"NER","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"PSE","SIGI","DISCRIMFAMCODE","IDX","A","2019",89.2,
"PSE","SIGI","RESTRCIVLIB","IDX","A","2019",59.4,
"PSE","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"PSE","SIGI","RESTRRESASSETS","IDX","A","2019",64.9,
"OMN","SIGI","DISCRIMFAMCODE","IDX","A","2019",86.5,
"OMN","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"PAN","SIGI","DISCRIMFAMCODE","IDX","A","2019",15.5,
"PAN","SIGI","RESTRCIVLIB","IDX","A","2019",17.8,
"PAN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"PAN","SIGI","RESTRRESASSETS","IDX","A","2019",16.1,
"PNG","SIGI","DISCRIMFAMCODE","IDX","A","2019",54.2,
"PNG","SIGI","RESTRRESASSETS","IDX","A","2014",80.44,
"QAT","SIGI","DISCRIMFAMCODE","IDX","A","2019",92,
"QAT","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"RWA","SIGI","TOT","IDX","A","2019",27.6,
"RWA","SIGI","DISCRIMFAMCODE","IDX","A","2019",38,
"RWA","SIGI","RESTRCIVLIB","IDX","A","2019",23.5,
"RWA","SIGI","RESTRPHYSINTEG","IDX","A","2019",21.4,
"RWA","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"RWA","SIGI","RESTRRESASSETS","IDX","A","2019",26.5,
"SEN","SIGI","TOT","IDX","A","2019",37,
"SEN","SIGI","DISCRIMFAMCODE","IDX","A","2019",64.9,
"SEN","SIGI","RESTRCIVLIB","IDX","A","2019",3.6,
"SEN","SIGI","RESTRPHYSINTEG","IDX","A","2019",41.9,
"SEN","SIGI","RESTRRESASSETS","IDX","A","2014",40.76,
"SEN","SIGI","RESTRRESASSETS","IDX","A","2019",27.6,
"SLE","SIGI","TOT","IDX","A","2019",47.6,
"SLE","SIGI","DISCRIMFAMCODE","IDX","A","2019",53.7,
"SLE","SIGI","RESTRCIVLIB","IDX","A","2019",40.9,
"SLE","SIGI","RESTRPHYSINTEG","IDX","A","2019",50.4,
"SLE","SIGI","RESTRRESASSETS","IDX","A","2014",80.44,
"SLE","SIGI","RESTRRESASSETS","IDX","A","2019",44.8,
"SOM","SIGI","DISCRIMFAMCODE","IDX","A","2019",76.2,
"SOM","SIGI","RESTRRESASSETS","IDX","A","2014",76.26,
"LKA","SIGI","TOT","IDX","A","2019",43,
"LKA","SIGI","DISCRIMFAMCODE","IDX","A","2019",67.6,
"LKA","SIGI","RESTRCIVLIB","IDX","A","2019",28.6,
"LKA","SIGI","RESTRPHYSINTEG","IDX","A","2019",24.5,
"LKA","SIGI","RESTRRESASSETS","IDX","A","2014",62.07,
"LKA","SIGI","RESTRRESASSETS","IDX","A","2019",45.6,
"SWZ","SIGI","DISCRIMFAMCODE","IDX","A","2019",59.2,
"SWZ","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"SYR","SIGI","DISCRIMFAMCODE","IDX","A","2019",86.1,
"SYR","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"TJK","SIGI","TOT","IDX","A","2019",32.4,
"TJK","SIGI","DISCRIMFAMCODE","IDX","A","2019",47.8,
"TJK","SIGI","RESTRCIVLIB","IDX","A","2019",25.1,
"TJK","SIGI","RESTRPHYSINTEG","IDX","A","2019",20.2,
"TJK","SIGI","RESTRRESASSETS","IDX","A","2014",20.28,
"TJK","SIGI","RESTRRESASSETS","IDX","A","2019",34.1,
"TLS","SIGI","DISCRIMFAMCODE","IDX","A","2019",31,
"TLS","SIGI","RESTRPHYSINTEG","IDX","A","2019",34.4,
"TLS","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"TGO","SIGI","TOT","IDX","A","2019",49.5,
"TGO","SIGI","DISCRIMFAMCODE","IDX","A","2019",63.1,
"TGO","SIGI","RESTRCIVLIB","IDX","A","2019",62,
"TGO","SIGI","RESTRPHYSINTEG","IDX","A","2019",24.7,
"TGO","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"TGO","SIGI","RESTRRESASSETS","IDX","A","2019",43.5,
"TTO","SIGI","TOT","IDX","A","2019",23.5,
"TTO","SIGI","DISCRIMFAMCODE","IDX","A","2019",18.3,
"TTO","SIGI","RESTRCIVLIB","IDX","A","2019",28.5,
"TTO","SIGI","RESTRPHYSINTEG","IDX","A","2019",26.6,
"TTO","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"TTO","SIGI","RESTRRESASSETS","IDX","A","2019",20.4,
"TUN","SIGI","TOT","IDX","A","2019",47.6,
"TUN","SIGI","DISCRIMFAMCODE","IDX","A","2019",79.9,
"TUN","SIGI","RESTRCIVLIB","IDX","A","2019",52.8,
"TUN","SIGI","RESTRPHYSINTEG","IDX","A","2019",9.4,
"TUN","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"TUN","SIGI","RESTRRESASSETS","IDX","A","2019",35,
"TKM","SIGI","DISCRIMFAMCODE","IDX","A","2019",29.8,
"TKM","SIGI","RESTRRESASSETS","IDX","A","2014",20.48,
"UGA","SIGI","TOT","IDX","A","2019",45.1,
"UGA","SIGI","DISCRIMFAMCODE","IDX","A","2019",54,
"UGA","SIGI","RESTRCIVLIB","IDX","A","2019",26.6,
"UGA","SIGI","RESTRPHYSINTEG","IDX","A","2019",34.3,
"UGA","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"UGA","SIGI","RESTRRESASSETS","IDX","A","2019",61.4,
"UZB","SIGI","DISCRIMFAMCODE","IDX","A","2019",42.2,
"UZB","SIGI","RESTRCIVLIB","IDX","A","2019",23.5,
"UZB","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"VEN","SIGI","DISCRIMFAMCODE","IDX","A","2019",43.5,
"VEN","SIGI","RESTRCIVLIB","IDX","A","2019",14.6,
"VEN","SIGI","RESTRRESASSETS","IDX","A","2014",0,
"VEN","SIGI","RESTRRESASSETS","IDX","A","2019",12.7,
"YEM","SIGI","TOT","IDX","A","2019",64,
"YEM","SIGI","DISCRIMFAMCODE","IDX","A","2019",89.7,
"YEM","SIGI","RESTRCIVLIB","IDX","A","2019",75.8,
"YEM","SIGI","RESTRPHYSINTEG","IDX","A","2019",37.7,
"YEM","SIGI","RESTRRESASSETS","IDX","A","2014",59.13,
"YEM","SIGI","RESTRRESASSETS","IDX","A","2019",43.2,
"ZWE","SIGI","TOT","IDX","A","2019",32.4,
"ZWE","SIGI","DISCRIMFAMCODE","IDX","A","2019",42.8,
"ZWE","SIGI","RESTRCIVLIB","IDX","A","2019",30.9,
"ZWE","SIGI","RESTRPHYSINTEG","IDX","A","2019",20.2,
"ZWE","SIGI","RESTRRESASSETS","IDX","A","2014",40.76,
"ZWE","SIGI","RESTRRESASSETS","IDX","A","2019",34.3,
"AUS","SIGI","TOT","IDX","A","2019",16.1,
"AUS","SIGI","RESTRPHYSINTEG","IDX","A","2019",12.9,
"AUT","SIGI","TOT","IDX","A","2019",11.7,
"AUT","SIGI","RESTRPHYSINTEG","IDX","A","2019",7.7,
"CAN","SIGI","TOT","IDX","A","2019",18.3,
"CAN","SIGI","RESTRPHYSINTEG","IDX","A","2019",4.2,
"DNK","SIGI","TOT","IDX","A","2019",10.4,
"DNK","SIGI","RESTRPHYSINTEG","IDX","A","2019",10.2,
"FIN","SIGI","TOT","IDX","A","2019",15.3,
"FIN","SIGI","RESTRPHYSINTEG","IDX","A","2019",16.4,
"DEU","SIGI","TOT","IDX","A","2019",15,
"DEU","SIGI","RESTRPHYSINTEG","IDX","A","2019",14.5,
"GRC","SIGI","TOT","IDX","A","2019",27.1,
"GRC","SIGI","RESTRPHYSINTEG","IDX","A","2019",9.3,
"HUN","SIGI","TOT","IDX","A","2019",25.7,
"HUN","SIGI","DISCRIMFAMCODE","IDX","A","2019",34.1,
"IRL","SIGI","TOT","IDX","A","2019",17.1,
"IRL","SIGI","RESTRPHYSINTEG","IDX","A","2019",18.5,
"JPN","SIGI","TOT","IDX","A","2019",24,
"JPN","SIGI","RESTRPHYSINTEG","IDX","A","2019",21.3,
"KOR","SIGI","TOT","IDX","A","2019",23.4,
"KOR","SIGI","RESTRPHYSINTEG","IDX","A","2019",17.5,
"MEX","SIGI","TOT","IDX","A","2019",29,
"NLD","SIGI","TOT","IDX","A","2019",16.1,
"NLD","SIGI","RESTRPHYSINTEG","IDX","A","2019",13.5,
"NZL","SIGI","TOT","IDX","A","2019",16.7,
"NZL","SIGI","RESTRPHYSINTEG","IDX","A","2019",17.5,
"NOR","SIGI","TOT","IDX","A","2019",14.5,
"NOR","SIGI","RESTRPHYSINTEG","IDX","A","2019",7,
"POL","SIGI","TOT","IDX","A","2019",17.4,
"POL","SIGI","RESTRPHYSINTEG","IDX","A","2019",19.7,
"PRT","SIGI","TOT","IDX","A","2019",11.2,
"PRT","SIGI","RESTRPHYSINTEG","IDX","A","2019",7.4,
"SVK","SIGI","TOT","IDX","A","2019",16.5,
"SVK","SIGI","RESTRPHYSINTEG","IDX","A","2019",5.9,
"SWE","SIGI","TOT","IDX","A","2019",10.5,
"SWE","SIGI","RESTRPHYSINTEG","IDX","A","2019",8.1,
"CHE","SIGI","TOT","IDX","A","2019",8.1,
"CHE","SIGI","RESTRPHYSINTEG","IDX","A","2019",13.3,
"GBR","SIGI","TOT","IDX","A","2019",17.5,
"GBR","SIGI","RESTRPHYSINTEG","IDX","A","2019",24.5,
"USA","SIGI","TOT","IDX","A","2019",17.9,
"BRN","SIGI","DISCRIMFAMCODE","IDX","A","2019",79.9,
"CHL","SIGI","TOT","IDX","A","2019",36.1,
"CHL","SIGI","RESTRPHYSINTEG","IDX","A","2019",18.8,
"HRV","SIGI","TOT","IDX","A","2019",19.3,
"HRV","SIGI","RESTRPHYSINTEG","IDX","A","2019",7,
"CYP","SIGI","TOT","IDX","A","2019",28.3,
"CYP","SIGI","RESTRPHYSINTEG","IDX","A","2019",11.7,
"GNQ","SIGI","RESTRPHYSINTEG","IDX","A","2019",37.5,
"EST","SIGI","TOT","IDX","A","2019",14.1,
"EST","SIGI","RESTRPHYSINTEG","IDX","A","2019",7.3,
"HKG","SIGI","TOT","IDX","A","2019",21.2,
"HKG","SIGI","RESTRPHYSINTEG","IDX","A","2019",22.5,
"IRN","SIGI","TOT","IDX","A","2019",58.3,
"IRN","SIGI","RESTRPHYSINTEG","IDX","A","2019",29.1,
"MLT","SIGI","TOT","IDX","A","2019",21.5,
"MLT","SIGI","DISCRIMFAMCODE","IDX","A","2019",24.9,
"MLT","SIGI","RESTRCIVLIB","IDX","A","2019",26.3,
"MLT","SIGI","RESTRPHYSINTEG","IDX","A","2019",28.4,
"RUS","SIGI","TOT","IDX","A","2019",22.3,
"SGP","SIGI","TOT","IDX","A","2019",27,
"SGP","SIGI","RESTRPHYSINTEG","IDX","A","2019",14.8,
"TWN","SIGI","DISCRIMFAMCODE","IDX","A","2019",37.2,
"TWN","SIGI","RESTRCIVLIB","IDX","A","2019",15.9,
"URY","SIGI","TOT","IDX","A","2019",22.2,
"MNE","SIGI","DISCRIMFAMCODE","IDX","A","2019",27.6,
"MNE","SIGI","RESTRCIVLIB","IDX","A","2019",13.7,
"MLT","SIGI","RESTRRESASSETS","IDX","A","2019",4.9,
"MNE","SIGI","RESTRRESASSETS","IDX","A","2019",28.7,
